Score_id,stu_id,course_id,grade
1001,1631607101,16610001,82
1002,1631607101,16610002,65
1003,1631607101,16610003,78
1004,1631607102,16610004,90
1005,1631607102,16610005,89
1006,1631611104,16610003,66
1007,1631611104,16610004,97
1008,1631611104,16610005,87
1009,1631611104,16610006,80
1010,1731613106,16610009,65
1011,1731613107,16610009,87
1012,1631601101,16610002,76
1013,1631601102,16610003,75
1014,1631601103,16610004,80
1015,1631601104,16610005,70
1016,1631601105,16610006,69
1017,1631601105,16610007,88
